id;invoice_no;message_family;buyer_id;buyer_name;seller_id;seller_name;sales_amount;tax_amount;total_amount;tax_type;normalized_json;invoice_status;issued_at;legacy_type;tb_code;tb_category;tb_can_auto_retry;tb_recommended_action;tb_source_code;tb_source_message;tb_result_code;tenant_id;import_file_id
1;AB10000001;F0401;12345678;Buyer A;24556677;Seller A;1000;50;1050;1%;{};ACKED;2025-11-01 10:00:00;C0401;TB-5003;PLATFORM.DATA_AMOUNT_MISMATCH;FALSE;FIX_DATA;E200;Tax mismatch;9;1;1
2;AB10000002;F0401;12345679;Buyer B;24556677;Seller A;1200;60;1260;1%;{};ACKED;2025-11-01 11:00:00;C0401;;;;TRUE;CHECK_PLATFORM;;0;1;1
3;AB10000003;F0401;12345670;Buyer C;24556678;Seller B;1500;75;1575;5%;{};ERROR;2025-11-02 09:00:00;C0401;TB-4001;PLATFORM.LIFECYCLE_INVALID_ORDER;FALSE;FIX_LIFECYCLE_FLOW;E410;State invalid;9;1;2
4;AB10000004;F0501;12345671;Buyer D;24556678;Seller B;0;0;0;0%;{};ACKED;2025-11-02 10:00:00;C0501;;;;TRUE;CHECK_PLATFORM;;0;1;2
5;AB10000005;F0401;12345672;Buyer E;24556679;Seller C;1800;90;1890;5%;{};ERROR;2025-11-03 08:00:00;C0401;TB-5002;PLATFORM.DATA_DUPLICATE;FALSE;SKIP_DUPLICATE;E200;Duplicate invoice;9;2;3
6;AB10000006;F0401;12345673;Buyer F;24556679;Seller C;900;45;945;5%;{};ERROR;2025-11-03 09:00:00;C0401;TB-4002;PLATFORM.LIFECYCLE_STATE_NOT_ALLOWED;FALSE;FIX_LIFECYCLE_FLOW;E410;State conflict;9;1;3
7;AB10000007;F0401;12345674;Buyer G;24556680;Seller D;2100;105;2205;5%;{};ACKED;2025-11-04 07:30:00;C0401;;;;TRUE;CHECK_PLATFORM;;0;2;4
8;AB10000008;F0401;12345675;Buyer H;24556680;Seller D;2500;125;2625;5%;{};ERROR;2025-11-04 08:30:00;C0401;TB-5005;PLATFORM.DATA_CARRIER_INVALID;FALSE;FIX_DATA;E200;Carrier rejected;9;1;4
9;AB10000009;F0401;12345676;Buyer I;24556681;Seller E;1100;55;1155;5%;{};ACKED;2025-11-05 09:00:00;C0401;;;;TRUE;CHECK_PLATFORM;;0;2;5
10;AB10000010;F0401;12345677;Buyer J;24556681;Seller E;1350;67.5;1417.5;5%;{};ERROR;2025-11-05 10:00:00;C0401;TB-5004;PLATFORM.DATA_TAXTYPE_INVALID;FALSE;FIX_DATA;E500;Tax type invalid;9;1;5
