id;bucket;object_key;media_type;content_length;sha_256;purpose;filename;storage_class;encryption;metadata;created_by;created_date;last_modified_by;last_modified_date
1;outbound;outbound/24567891/202510/UPLOAD_ORIGINAL-24567891-20251024111701-b335825a.dat;application/zip;278599;7f2855a6c737b22f4e5eb50695d25f3223336e5a5533cb474f8590b5f525dc7a;UPLOAD_ORIGINAL;UPLOAD_ORIGINAL-24567891-20251024111701-b335825a.dat;STANDARD;aws:kms;"{""note"": ""seed"", ""sellerId"": ""24567891""}";system;2025-10-24T11:17:01.008Z;system;2025-10-24T11:22:01.008Z
2;inbound;inbound/16888002/202510/MIG_XML-16888002-20251029171701-6a33b6bc.dat;application/zip;1772220;28775a0a20df765b57629812976306ce6f34698ed352f90a275b280a86e1e6f9;MIG_XML;MIG_XML-16888002-20251029171701-6a33b6bc.dat;GLACIER;;"{""note"": ""seed"", ""sellerId"": ""16888002""}";system;2025-10-29T17:17:01.008Z;system;2025-10-29T17:22:01.008Z
3;inbound;inbound/24567891/202511/FEEDBACK_XML-24567891-20251103061701-b56536b1.dat;application/zip;1912167;ad88d6e4f932cb4a0367f2f0e827df412b836cd5e0f0b9d953a49224af146083;FEEDBACK_XML;FEEDBACK_XML-24567891-20251103061701-b56536b1.dat;GLACIER;aws:kms;"{""note"": ""seed"", ""sellerId"": ""24567891""}";system;2025-11-03T06:17:01.008Z;system;2025-11-03T06:22:01.008Z
4;feedback;feedback/22334455/202510/MIG_XML-22334455-20251016051701-fa08fab1.dat;application/xml;617911;1976d3ad71f3df91cc5c7eb52144795eb32e690393b3d2e0ad913a69b33ba37e;MIG_XML;MIG_XML-22334455-20251016051701-fa08fab1.dat;INFREQUENT;aws:kms;"{""note"": ""seed"", ""sellerId"": ""22334455""}";system;2025-10-16T05:17:01.008Z;system;2025-10-16T05:22:01.008Z
5;inbound;inbound/77665544/202510/MIG_XML-77665544-20251007131701-53a965e8.dat;application/zip;551211;a88bdd98d069d6bc4f58b419ff2857d64b7fe8f649234fe1b4b0364bfa6e44f2;MIG_XML;MIG_XML-77665544-20251007131701-53a965e8.dat;STANDARD;aws:kms;"{""note"": ""seed"", ""sellerId"": ""77665544""}";system;2025-10-07T13:17:01.008Z;system;2025-10-07T13:22:01.008Z
6;mig;mig/77665544/202510/UPLOAD_ORIGINAL-77665544-20251031011701-cab9b468.dat;text/csv;1881882;3ad6a4ae804fb71de9a0edd6fc2152574e5c7ee06acee6004c9bc56b895d788d;UPLOAD_ORIGINAL;UPLOAD_ORIGINAL-77665544-20251031011701-cab9b468.dat;INFREQUENT;AES256;"{""note"": ""seed"", ""sellerId"": ""77665544""}";system;2025-10-31T01:17:01.008Z;system;2025-10-31T01:22:01.008Z
7;feedback;feedback/22334455/202510/UPLOAD_ORIGINAL-22334455-20251020021701-dd645982.dat;text/csv;1905053;df1ee789fa73f09cae43c59a8acf9ff5342616cbba190e6ca47bf89f92dc965b;UPLOAD_ORIGINAL;UPLOAD_ORIGINAL-22334455-20251020021701-dd645982.dat;GLACIER;;"{""note"": ""seed"", ""sellerId"": ""22334455""}";system;2025-10-20T02:17:01.008Z;system;2025-10-20T02:22:01.008Z
8;outbound;outbound/77665544/202510/RESULT_CSV-77665544-20251012151701-b7249a0b.dat;text/csv;1619398;cd704e297dcc48a1dbf5bb856fa306a90f6e2b91629825b808f667aeb4e5232a;RESULT_CSV;RESULT_CSV-77665544-20251012151701-b7249a0b.dat;STANDARD;AES256;"{""note"": ""seed"", ""sellerId"": ""77665544""}";system;2025-10-12T15:17:01.008Z;system;2025-10-12T15:22:01.008Z
9;inbound;inbound/16888002/202511/RESULT_CSV-16888002-20251105071701-437fd691.dat;text/csv;1100334;30fa8f449f8c612b1ede7571b327ea410a3bdfcc65812342811b74c8912485a3;RESULT_CSV;RESULT_CSV-16888002-20251105071701-437fd691.dat;GLACIER;;"{""note"": ""seed"", ""sellerId"": ""16888002""}";system;2025-11-05T07:17:01.008Z;system;2025-11-05T07:22:01.008Z
10;mig;mig/24567891/202510/UPLOAD_ORIGINAL-24567891-20251024151701-f3706ff5.dat;text/csv;1717754;a1ade8d4e80144c5a4d59cf1d1ede60b575a0df3826394172f98f877812b258f;UPLOAD_ORIGINAL;UPLOAD_ORIGINAL-24567891-20251024151701-f3706ff5.dat;INFREQUENT;AES256;"{""note"": ""seed"", ""sellerId"": ""24567891""}";system;2025-10-24T15:17:01.008Z;system;2025-10-24T15:22:01.008Z
11;mig;mig/77665544/202510/UPLOAD_ORIGINAL-77665544-20251026161701-3d63414f.dat;application/zip;768118;cbcffbfdfee5aac8f9a4466c6856f6f90a08464fa52fdad930a5cee62719aff2;UPLOAD_ORIGINAL;UPLOAD_ORIGINAL-77665544-20251026161701-3d63414f.dat;STANDARD;;"{""note"": ""seed"", ""sellerId"": ""77665544""}";system;2025-10-26T16:17:01.008Z;system;2025-10-26T16:22:01.008Z
12;mig;mig/80223311/202510/MIG_XML-80223311-20251025131701-9a833951.dat;application/zip;930345;08cefdbfb9a77e44eb7c44a8b3a02d29917d8db0c35b370cdf8a1264332b1017;MIG_XML;MIG_XML-80223311-20251025131701-9a833951.dat;GLACIER;AES256;"{""note"": ""seed"", ""sellerId"": ""80223311""}";system;2025-10-25T13:17:01.008Z;system;2025-10-25T13:22:01.008Z
13;outbound;outbound/16888002/202510/FEEDBACK_XML-16888002-20251012111701-a282d65a.dat;application/zip;1111387;a37c56d06d8003e090a1c33e7bd23cf5aa35e3c4dc1553211320bbc0c0510d36;FEEDBACK_XML;FEEDBACK_XML-16888002-20251012111701-a282d65a.dat;GLACIER;;"{""note"": ""seed"", ""sellerId"": ""16888002""}";system;2025-10-12T11:17:01.008Z;system;2025-10-12T11:22:01.008Z
