id;seller_id;period;prefix;start_no;end_no;current_no;status;version;lock_owner;lock_at;created_by;created_date;last_modified_by;last_modified_date
1;77665544;202510;AB;1;999999;43125;ACTIVE;7;;;"system";2025-10-01T00:00:00.000Z;system;2025-10-28T09:00:00.000Z
2;77665544;202511;AE;1;999999;38210;ACTIVE;3;;;"system";2025-11-01T00:00:00.000Z;system;2025-11-05T06:00:00.000Z
3;22334455;202510;AF;10001;20000;15377;ACTIVE;4;;;"system";2025-10-01T00:00:00.000Z;system;2025-10-31T10:10:00.000Z
4;22334455;202510;AB;20001;40000;33901;EXHAUSTED;9;;;"system";2025-10-01T00:00:00.000Z;system;2025-10-29T08:30:00.000Z
5;16888002;202510;AD;1;50000;3063;ACTIVE;2;;;"system";2025-10-01T00:00:00.000Z;system;2025-10-28T14:00:00.000Z
6;16888002;202511;AE;50001;100000;5099;ACTIVE;1;;;"system";2025-11-01T00:00:00.000Z;system;2025-11-03T13:00:00.000Z
7;50991234;202510;AF;1;30000;25834;ACTIVE;5;;;"system";2025-10-01T00:00:00.000Z;system;2025-10-31T12:00:00.000Z
8;50991234;202511;AB;30001;60000;1156;ACTIVE;1;;;"system";2025-11-01T00:00:00.000Z;system;2025-11-06T07:00:00.000Z
9;24567891;202510;AE;1;20000;1717;ACTIVE;2;;;"system";2025-10-01T00:00:00.000Z;system;2025-10-24T16:00:00.000Z
10;80223311;202510;AF;1;15000;5300;ACTIVE;3;;;"system";2025-10-01T00:00:00.000Z;system;2025-10-26T03:00:00.000Z
11;24567891;202511;AB;20001;40000;0;CLOSED;1;;;"system";2025-11-01T00:00:00.000Z;system;2025-11-01T00:00:00.000Z
12;22334455;202511;AE;40001;70000;0;CLOSED;1;;;"system";2025-11-01T00:00:00.000Z;system;2025-11-01T00:00:00.000Z
