id;job_id;seller_id;seller_name;period;profile;source_filename;source_media_type;status;total;accepted;failed;sent;remark;original_file_id;created_by;created_date;last_modified_by;last_modified_date
1;JOB2025110215170100;77665544;木木企業股份有限公司;202511;Profile-Canonical;UPLOAD_ORIGINAL-77665544-20251026161701-3d63414f.dat;application/zip;RESULT_READY;9;5;3;7;seed;11;portal;2025-11-02T15:17:01.000Z;system;2025-11-05T01:30:00.000Z
2;JOB2025102311170101;22334455;小確幸股份有限公司;202510;Profile-Canonical;UPLOAD_ORIGINAL-22334455-20251020021701-dd645982.dat;text/csv;RESULT_READY;10;8;1;9;seed;7;portal;2025-10-23T11:17:01.000Z;system;2025-11-02T23:59:00.000Z
3;JOB2025110503170102;50991234;聯合國際有限公司;202511;Profile-Legacy;UPLOAD_ORIGINAL-50991234-20251028081701-e0524ab2.dat;text/csv;VALIDATING;10;6;2;6;seed;21;portal;2025-11-05T03:17:01.000Z;system;2025-11-06T04:20:00.000Z
4;JOB2025103103170103;77665544;木木企業股份有限公司;202510;Profile-Canonical;UPLOAD_ORIGINAL-77665544-20251031011701-cab9b468.dat;text/csv;SENT;7;5;1;7;seed;6;portal;2025-10-31T03:17:01.000Z;system;2025-11-03T10:10:00.000Z
5;JOB2025110100170104;16888002;宏遠科技股份有限公司;202511;Profile-Legacy;UPLOAD_ORIGINAL-16888002-20251028041701-dfa99c6e.dat;text/csv;PACKING;9;6;2;6;seed;18;portal;2025-11-01T00:17:01.000Z;system;2025-11-04T18:05:00.000Z
6;JOB2025110607170105;50991234;聯合國際有限公司;202511;Profile-Canonical;UPLOAD_ORIGINAL-50991234-20251031141701-2a301f76.dat;text/csv;PARSING;5;4;1;4;seed;19;portal;2025-11-06T07:17:01.000Z;system;2025-11-06T08:30:00.000Z
7;JOB2025102415170106;24567891;欣泰實業有限公司;202510;Profile-Canonical;UPLOAD_ORIGINAL-24567891-20251024151701-f3706ff5.dat;text/csv;RESULT_READY;8;7;1;7;seed;10;portal;2025-10-24T15:17:01.000Z;system;2025-10-25T09:00:00.000Z
8;JOB2025100710170107;77665544;木木企業股份有限公司;202510;Profile-Legacy;UPLOAD_ORIGINAL-77665544-20251007101701-094808f9.dat;application/zip;RESULT_READY;12;10;2;10;seed;27;portal;2025-10-07T10:17:01.000Z;system;2025-10-08T12:00:00.000Z
9;JOB2025102601170108;80223311;東昇股份有限公司;202510;Profile-Canonical;UPLOAD_ORIGINAL-80223311-20251026011701-8c78ad4d.dat;application/zip;SENT;11;9;1;9;seed;23;portal;2025-10-26T01:17:01.000Z;system;2025-10-27T03:45:00.000Z
10;JOB2025102411170109;24567891;欣泰實業有限公司;202510;Profile-Legacy;UPLOAD_ORIGINAL-24567891-20251024111701-b335825a.dat;application/zip;RESULT_READY;6;5;0;5;seed;1;portal;2025-10-24T11:17:01.000Z;system;2025-10-24T12:30:00.000Z
11;JOB2025101211170110;16888002;宏遠科技股份有限公司;202510;Profile-Legacy;FEEDBACK_XML-16888002-20251012111701-a282d65a.dat;application/zip;RECEIVED;5;0;0;0;feedback only;13;system;2025-10-12T11:17:01.000Z;system;2025-10-12T11:40:00.000Z
12;JOB2025102116170111;16888002;宏遠科技股份有限公司;202510;Profile-Canonical;RESULT_CSV-16888002-20251021161701-a67e45ef.dat;text/csv;RESULT_READY;4;4;0;4;result sync;17;system;2025-10-21T16:17:01.000Z;system;2025-10-21T16:25:00.000Z
