id;delivery_id;event;payload;status;http_status;attempts;last_error;delivered_at;next_attempt_at;locked_at;dlq_reason;webhook_endpoint_id
1;"DL-001";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345678"",""tb_code"":""TB-5003"",""tb_category"":""PLATFORM.DATA_AMOUNT_MISMATCH"",""import_id"":12}}";"FAILED";500;3;"HTTP 500";;"2025-11-19 11:05:00";;"Exceeded retries";1
2;"DL-002";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345679"",""tb_code"":""TB-4001"",""tb_category"":""PLATFORM.LIFECYCLE_INVALID_ORDER"",""import_id"":13}}";"RETRY";503;1;"Timeout";;"2025-11-19 11:10:00";"2025-11-19 11:11:00";"Retry schedule";2
3;"DL-003";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345680"",""tb_code"":""TB-5002"",""tb_category"":""PLATFORM.DATA_DUPLICATE"",""import_id"":14}}";"FAILED";409;3;"Duplicate invoice";;"2025-11-19 11:15:00";;"Paused";3
4;"DL-004";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345681"",""tb_code"":""TB-5005"",""tb_category"":""PLATFORM.DATA_CARRIER_INVALID"",""import_id"":15}}";"RETRY";504;2;"Carrier timeout";;"2025-11-19 11:20:00";"2025-11-19 11:25:00";"Retry";4
5;"DL-005";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345682"",""tb_code"":""TB-5003"",""tb_category"":""PLATFORM.DATA_AMOUNT_MISMATCH"",""import_id"":16}}";"FAILED";500;3;"Tax mismatch";"2025-11-19 11:25:00";;;"Exceeded retries";5
6;"DL-006";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345683"",""tb_code"":""TB-4002"",""tb_category"":""PLATFORM.LIFECYCLE_STATE_NOT_ALLOWED"",""import_id"":17}}";"FAILED";422;2;"Invalid state";;"2025-11-19 11:30:00";;"Closed";6
7;"DL-007";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345684"",""tb_code"":""TB-3002"",""tb_category"":""TURNKEY.MIG_VALIDATION"",""import_id"":18}}";"RETRY";400;1;"Validation";;"2025-11-19 11:35:00";"2025-11-19 11:36:00";"First attempt";7
8;"DL-008";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345685"",""tb_code"":""TB-3004"",""tb_category"":""TURNKEY.MIG_VALIDATION"",""import_id"":19}}";"RETRY";408;2;"Payload invalid";;"2025-11-19 11:40:00";"2025-11-19 11:45:00";"Retry";8
9;"DL-009";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345686"",""tb_code"":""TB-9001"",""tb_category"":""SYSTEM.PLATFORM_MAINTENANCE"",""import_id"":20}}";"FAILED";503;3;"Maintenance";;"2025-11-19 11:45:00";;"DLQ";9
10;"DL-010";"upload.completed";"{""data"":{""import_id"":21}}";"SUCCESS";200;1;"";"2025-11-19 11:50:00";;;;10
11;"DL-011";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345687"",""tb_code"":""TB-5003"",""tb_category"":""PLATFORM.DATA_AMOUNT_MISMATCH"",""import_id"":22}}";"FAILED";500;3;"HTTP 503";;"2025-11-19 11:55:00";;"Throttled";11
12;"DL-012";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345688"",""tb_code"":""TB-4001"",""tb_category"":""PLATFORM.LIFECYCLE_INVALID_ORDER"",""import_id"":23}}";"RETRY";504;1;"Temporary error";;"2025-11-19 12:00:00";"2025-11-19 12:05:00";;12
13;"DL-013";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345689"",""tb_code"":""TB-5005"",""tb_category"":""PLATFORM.DATA_CARRIER_INVALID"",""import_id"":24}}";"RETRY";408;2;"Carrier error";;"2025-11-19 12:05:00";"2025-11-19 12:10:00";;13
14;"DL-014";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345690"",""tb_code"":""TB-5002"",""tb_category"":""PLATFORM.DATA_DUPLICATE"",""import_id"":25}}";"FAILED";409;3;"Duplicate";;"2025-11-19 12:10:00";;;14
15;"DL-015";"invoice.status.updated";"{""data"":{""invoice_no"":""AB12345691"",""tb_code"":""TB-4002"",""tb_category"":""PLATFORM.LIFECYCLE_STATE_NOT_ALLOWED"",""import_id"":26}}";"RETRY";408;1;"State conflict";;"2025-11-19 12:15:00";"2025-11-19 12:16:00";;15
